ID_ODF,MAILLE,ID_FAUNE_FRANCE
45081,E045N688,1199
45082,E045N689,1200
45083,E045N690,1201
45084,E045N691,1202
45085,E045N692,1203
45095,E046N618,1204
45096,E046N619,1205
45097,E046N620,1206
45098,E046N621,1207
45099,E046N622,1208
45100,E046N623,1209
45101,E046N624,1210
45102,E046N625,1211
45103,E046N626,1212
45104,E046N627,1213
45105,E046N628,1214
45106,E046N629,1215
45107,E046N630,1216
45108,E046N631,1217
45109,E046N632,1218
45110,E046N633,1219
45111,E046N634,1220
45112,E046N635,1221
45113,E046N636,1222
45114,E046N637,1223
45115,E046N638,1224
45116,E046N639,1225
45117,E046N640,1226
45118,E046N641,1227
45119,E046N642,1228
45120,E046N643,1229
45121,E046N644,1230
45122,E046N645,1231
45123,E046N646,1232
45124,E046N647,1233
45125,E046N648,1234
45126,E046N649,1235
45127,E046N650,1236
45128,E046N651,1237
45129,E046N652,1238
45130,E046N653,1239
45131,E046N654,1240
45132,E046N655,1241
45133,E046N656,1242
45134,E046N657,1243
45135,E046N658,1244
45136,E046N659,1245
45137,E046N660,1246
45138,E046N661,1247
45139,E046N662,1248
45140,E046N663,1249
45141,E046N664,1250
45142,E046N665,1251
45143,E046N666,1252
45144,E046N667,1253
45145,E046N668,1254
45146,E046N669,1255
45147,E046N670,1256
45148,E046N671,1257
45149,E046N672,1258
45150,E046N673,1259
45151,E046N674,1260
45152,E046N675,1261
45153,E046N676,1262
45154,E046N677,1263
45155,E046N678,1264
45156,E046N679,1265
45157,E046N680,1266
45158,E046N681,1267
45159,E046N682,1268
45160,E046N683,1269
45161,E046N684,1270
45162,E046N685,1271
45163,E046N686,1272
45164,E046N687,1273
45165,E046N688,1274
45166,E046N689,1275
45167,E046N690,1276
45168,E046N691,1277
45179,E047N617,1278
45180,E047N618,1279
45181,E047N619,1280
45182,E047N620,1281
45183,E047N621,1282
45184,E047N622,1283
45185,E047N623,1284
45186,E047N624,1285
45187,E047N625,1286
45188,E047N626,1287
45189,E047N627,1288
45190,E047N628,1289
45191,E047N629,1290
45192,E047N630,1291
45193,E047N631,1292
45194,E047N632,1293
45195,E047N633,1294
45196,E047N634,1295
45197,E047N635,1296
45198,E047N636,1297
45199,E047N637,1298
45200,E047N638,1299
45201,E047N639,1300
45202,E047N640,1301
45203,E047N641,1302
45204,E047N642,1303
45205,E047N643,1304
45206,E047N644,1305
45207,E047N645,1306
45208,E047N646,1307
45209,E047N647,1308
45210,E047N648,1309
45211,E047N649,1310
45212,E047N650,1311
45213,E047N651,1312
45214,E047N652,1313
45215,E047N653,1314
45216,E047N654,1315
45217,E047N655,1316
45218,E047N656,1317
45219,E047N657,1318
45220,E047N658,1319
45221,E047N659,1320
45222,E047N660,1321
45223,E047N661,1322
45224,E047N662,1323
45225,E047N663,1324
45226,E047N664,1325
45227,E047N665,1326
45228,E047N666,1327
45229,E047N667,1328
45230,E047N668,1329
45231,E047N669,1330
